회사명,거래소코드,회계년도,감사의견코드
(유)포리코리아,038721,2020/12,NA
(유)포리코리아,038721,2021/12,UQ
(유)포리코리아,038721,2022/12,UQ
(유)프라이그파이스트,046117,2019/12,NA
(유)프라이그파이스트,046117,2020/12,QS
(유)프라이그파이스트,046117,2021/12,QS
(유)프라이그파이스트,046117,2022/12,QS
(유)하늘산업,101984,2021/12,NA
(유)하늘산업,101984,2022/12,UQ
(유)하이코스,093414,2019/12,NA
(유)하이코스,093414,2020/12,UQ
(유)하이코스,093414,2021/12,UQ
(유)한국그랜드유니버셜트레이딩,093599,2019/12,NA
(유)한국그랜드유니버셜트레이딩,093599,2020/12,QS
(유)한국그랜드유니버셜트레이딩,093599,2021/12,QS
(유)한국그랜드유니버셜트레이딩,093599,2022/12,UQ
(유)한국비엠에스제약,018712,2019/12,NA
(유)한국비엠에스제약,018712,2020/12,UQ
(유)한국비엠에스제약,018712,2021/12,UQ
(유)한국비엠에스제약,018712,2022/12,UQ
(유)한국타코닉,093116,2019/12,NA
(유)한국타코닉,093116,2020/12,UQ
(유)한국타코닉,093116,2021/12,UQ
(유)한국타코닉,093116,2022/12,UQ
(유)한성산기,095599,2019/12,NA
(유)한성산기,095599,2020/12,UQ
(유)한성산기,095599,2021/12,UQ
(유)한성산기,095599,2022/12,UQ
(유)한풍제약,096651,2019/12,NA
(유)한풍제약,096651,2020/12,QS
(유)한풍제약,096651,2021/12,UQ
(유)한풍제약,096651,2022/12,UQ
(유)해송,093737,2019/12,NA
(유)해송,093737,2020/12,UQ
(유)현디앤씨,097037,2019/12,NA
(유)현디앤씨,097037,2020/12,UQ
(유)호남고속,096438,2019/12,NA
(유)호남고속,096438,2020/12,QS
(유)호남고속,096438,2021/12,UQ
(유)호남고속,096438,2022/12,UQ
(주)패시브하우스순환형임대주택위탁관리부동산투자회사,085208,2017/12,NA
(주)패시브하우스순환형임대주택위탁관리부동산투자회사,085208,2018/12,UQ
(주)패시브하우스순환형임대주택위탁관리부동산투자회사,085208,2019/12,UQ
(주)패시브하우스순환형임대주택위탁관리부동산투자회사,085208,2020/12,UQ
(주)패시브하우스순환형임대주택위탁관리부동산투자회사,085208,2021/12,UQ
(주)패시브하우스순환형임대주택위탁관리부동산투자회사,085208,2022/12,UQ
(주)팬스타,040428,2012/12,UQ
(주)팬스타,040428,2013/12,UQ
(주)팬스타,040428,2014/12,UQ
(주)팬스타,040428,2015/12,UQ
