회사명,거래소코드,회계년도,감사의견코드
(유)삼각에프엠씨,097307,2020/06,NA
(유)삼각에프엠씨,097307,2021/06,QS
(유)삼각에프엠씨,097307,2022/06,UQ
(유)삼현개발,097520,2020/12,NA
(유)삼현개발,097520,2021/12,UQ
(유)새천안교통,089201,2018/12,NA
(유)새천안교통,089201,2019/12,UQ
(유)새천안교통,089201,2020/12,UQ
(유)새천안교통,089201,2021/12,UQ
(유)새천안교통,089201,2022/12,UQ
(유)성문,093944,2019/12,NA
(유)성문,093944,2020/12,UQ
(유)성문,093944,2021/12,UQ
(유)성문,093944,2022/12,UQ
(유)성우이앤씨,095499,2019/12,NA
(유)성우이앤씨,095499,2020/12,UQ
(유)성우이앤씨,095499,2021/12,UQ
(유)성우이앤씨,095499,2022/12,UQ
(유)성진실업,102431,2021/12,NA
(유)성진실업,102431,2022/12,UQ
(유)송정주류,093050,2019/12,NA
(유)송정주류,093050,2020/12,QS
(유)송정주류,093050,2021/12,UQ
(유)송정주류,093050,2022/12,UQ
(유)스태츠칩팩코리아,026825,2019/12,NA
(유)스태츠칩팩코리아,026825,2020/12,UQ
(유)스태츠칩팩코리아,026825,2021/12,UQ
(유)스태츠칩팩코리아,026825,2022/12,UQ
(의)소망의료재단가나안요양병원,099033,2020/12,NA
(의)소망의료재단가나안요양병원,099033,2021/12,UQ
(의)소망의료재단가나안요양병원,099033,2022/12,UQ
(주)빅슨커뮤니케이션,045346,2014/12,UQ
(주)빅슨커뮤니케이션,045346,2015/12,UQ
(주)빅슨커뮤니케이션,045346,2016/12,UQ
(주)빅슨커뮤니케이션,045346,2017/12,UQ
(주)빅슨커뮤니케이션,045346,2018/12,UQ
(주)빅슨커뮤니케이션,045346,2019/12,UQ
(주)빅슨커뮤니케이션,045346,2020/12,UQ
(주)빅슨커뮤니케이션,045346,2021/12,UQ
(주)빅슨커뮤니케이션,045346,2022/12,UQ
(주)빅텍스,012371,2021/12,NA
(주)빅텍스,012371,2022/12,UQ
(주)빅토리아도시개발,076616,2015/12,NA
(주)빅토리아도시개발,076616,2016/12,QS
(주)빅토리아도시개발,076616,2017/12,QS
(주)빅토리아도시개발,076616,2018/12,QS
(주)빅토리아도시개발,076616,2019/12,QS
(주)빅토리아도시개발,076616,2020/12,UQ
(주)빅토리아도시개발,076616,2021/12,UQ
(주)빅토리아도시개발,076616,2022/12,UQ
(주)빅토리아산업개발,068327,2012/12,NA
(주)빅토리아산업개발,068327,2013/12,QS
(주)빅토리아산업개발,068327,2014/12,UQ
(주)빅토리아산업개발,068327,2015/12,QU
(주)빅투,078677,2015/12,NA
(주)빅투,078677,2016/12,UQ
(주)빅투,078677,2017/12,UQ
(주)빅투,078677,2018/12,UQ
(주)빅히트,104781,2021/12,NA
(주)빅히트,104781,2022/12,UQ
(주)빅히트엔터테인먼트,080108,2016/12,NA
(주)빅히트엔터테인먼트,080108,2017/12,UQ
(주)빅히트엔터테인먼트,080108,2018/12,UQ
(주)빅히트엔터테인먼트,080108,2019/12,UQ
(주)빈다코리아,070418,2013/12,NA
(주)빈다코리아,070418,2014/12,UQ
