회사명,거래소코드,회계년도,감사의견코드
(유)연세,093779,2019/12,NA
(유)연세,093779,2020/12,UQ
(유)영가실업,101874,2021/12,NA
(유)영가실업,101874,2022/12,QS
(유)영동레미콘,095255,2019/12,NA
(유)영동레미콘,095255,2020/12,QS
(유)워터스코리아,093395,2019/12,NA
(유)워터스코리아,093395,2020/12,UQ
(유)워터스코리아,093395,2021/12,UQ
(유)워터스코리아,093395,2022/12,UQ
(주)에어릭스,048676,2012/12,UQ
(주)에어릭스,048676,2013/12,UQ
(주)에어릭스,048676,2014/12,UQ
(주)에어릭스,048676,2015/12,UQ
(주)에어릭스,048676,2016/12,UQ
(주)에어릭스,048676,2017/12,UQ
(주)에어릭스,048676,2018/12,UQ
(주)에어릭스,048676,2019/12,UQ
(주)에어릭스,048676,2020/12,UQ
(주)에어릭스,048676,2021/12,UQ
(주)에어릭스,048676,2022/12,UQ
(주)에어웨이익스프레스,106834,2021/12,NA
(주)에어웨이익스프레스,106834,2022/12,UQ
(주)에어젠,090672,2018/12,NA
(주)에어젠,090672,2019/12,QS
(주)에어젠,090672,2020/12,UQ
(주)에어젠,090672,2021/12,UQ
(주)에어큐브,078001,2015/12,NA
(주)에어큐브,078001,2016/12,UQ
(주)에어키,080425,2016/12,NA
(주)에어키,080425,2017/12,UQ
(주)에어키,080425,2018/12,NA
(주)에어키,080425,2019/12,UQ
(주)에어키,080425,2020/12,UQ
(주)에어키,080425,2021/12,UQ
(주)에어키,080425,2022/12,UQ
(주)에어텍,072633,2014/12,NA
(주)에어텍,072633,2015/12,UQ
(주)에어텍,072633,2016/12,UQ
(주)에어텍,072633,2017/12,UQ
(주)에어텍,072633,2018/12,UQ
(주)에어텍,072633,2019/12,UQ
(주)에어텍시스템,041403,2012/12,UQ
(주)에어텍시스템,041403,2013/12,UQ
(주)에어텍시스템,041403,2014/12,UQ
(주)에어텍시스템,041403,2015/12,UQ
(주)에어텍시스템,041403,2016/12,UQ
(주)에어텍시스템,041403,2017/12,UQ
(주)에어텍시스템,041403,2018/12,UQ
(주)에어텍시스템,041403,2019/12,UQ
