회사명,거래소코드,회계년도,감사의견코드
(유)가든주류,097082,2019/12,NA
(유)가든주류,097082,2020/12,QS
(유)가든주류,097082,2021/12,UQ
(유)가든주류,097082,2022/12,DU
(유)그룹세브코리아,013171,2019/12,NA
(유)그룹세브코리아,013171,2020/12,UQ
(유)그룹세브코리아,013171,2021/12,UQ
(유)그룹세브코리아,013171,2022/12,UQ
(유)기흥모터스,094470,2019/12,NA
(유)기흥모터스,094470,2020/12,UQ
(유)기흥모터스,094470,2021/12,UQ
(유)기흥모터스,094470,2022/12,UQ
(유)나눔디앤씨,102441,2021/12,NA
(유)나눔디앤씨,102441,2022/12,QS
(유)남부상사,095606,2019/12,NA
(유)남부상사,095606,2020/12,QS
(유)남부상사,095606,2021/12,UQ
(유)네이쳐우드,102984,2021/12,NA
(유)네이쳐우드,102984,2022/12,QS
(주)21세기조선,040736,2012/12,DU
(주)21세기종합건설,093640,2019/12,NA
(주)21세기종합건설,093640,2020/12,UQ
(주)21세기종합건설,093640,2021/12,UQ
(주)360퍼스펙티브,098947,2020/12,NA
(주)360퍼스펙티브,098947,2021/12,QS
(주)360퍼스펙티브,098947,2022/12,UQ
(주)88스테이,081962,2016/12,NA
(주)88스테이,081962,2017/12,UQ
(주)88스테이,081962,2018/12,UQ
(주)88스테이,081962,2019/12,UQ
(주)88스테이,081962,2020/12,UQ
(주)88스테이,081962,2021/12,UQ
(주)88스테이,081962,2022/12,UQ
(주)A.M.C,064118,2012/12,UQ
(주)A.M.C,064118,2013/12,UQ
(주)A.M.C,064118,2014/12,UQ
(주)A.M.C,064118,2015/12,UQ
(주)A.M.C,064118,2016/12,UQ
(주)A.M.C,064118,2017/12,UQ
(주)A.M.C,064118,2018/12,UQ
(주)A.M.C,064118,2019/12,UQ
(주)A.M.C,064118,2020/12,UQ
(주)ATS엔지니어링,061907,2012/12,UQ
(주)ATS엔지니어링,061907,2013/12,UQ
(주)ATS엔지니어링,061907,2014/12,UQ
(주)ATS엔지니어링,061907,2015/12,UQ
(주)ATS엔지니어링,061907,2016/12,DU
(주)ATS엔지니어링,061907,2017/12,QS
(주)DCFTREK,017676,2012/12,UQ
(주)DCFTREK,017676,2013/12,UQ
(주)DCFTREK,017676,2014/12,UQ
(주)DCFTREK,017676,2015/12,UQ
(주)DCFTREK,017676,2016/12,UQ
(주)DCFTREK,017676,2017/12,UQ
(주)DCFTREK,017676,2018/12,UQ
(주)DCFTREK,017676,2019/12,UQ
(주)DCFTREK,017676,2020/12,UQ
(주)DCFTREK,017676,2021/12,UQ
(주)DCFTREK,017676,2022/12,UQ
(주)DH케미칼,040581,2012/12,UQ
(주)DH케미칼,040581,2013/12,UQ
(주)DH케미칼,040581,2014/12,UQ
(주)DH케미칼,040581,2015/12,UQ
(주)DH케미칼,040581,2016/12,UQ
(주)DH케미칼,040581,2017/12,UQ
(주)DH케미칼,040581,2018/12,UQ
(주)DH케미칼,040581,2019/12,UQ
(주)DH케미칼,040581,2020/12,UQ
(주)DH케미칼,040581,2021/12,UQ
(주)DH케미칼,040581,2022/12,UQ
(주)DKASTEEL,059783,2012/12,UQ
(주)DNSC,063900,2012/12,UQ
(주)DNSC,063900,2013/12,UQ
(주)DNSC,063900,2014/12,UQ
(주)DNSC,063900,2015/12,UQ
(주)DNSC,063900,2016/12,UQ
(주)DNSC,063900,2017/12,UQ
(주)DNSC,063900,2018/12,UQ
(주)DNSC,063900,2019/12,UQ
(주)DNSC,063900,2020/12,UQ
(주)DNSC,063900,2021/12,UQ
(주)DNSC,063900,2022/12,UQ
(주)DSGlobal,101458,2020/12,NA
(주)DSGlobal,101458,2021/12,QG
(주)DSGlobal,101458,2022/12,UQ
(주)E&T,058267,2012/12,UQ
(주)E&T,058267,2013/12,UQ
(주)E&T,058267,2014/12,UQ
(주)E&T,058267,2015/12,UQ
(주)E&T,058267,2016/12,UQ
(주)E&T,058267,2017/12,UQ
(주)E&T,058267,2018/12,UQ
(주)E&T,058267,2019/12,UQ
(주)E&T,058267,2020/12,UQ
(주)E&T,058267,2021/12,UQ
(주)E&T,058267,2022/12,UQ
(주)E-유로,077458,2015/12,NA
(주)E-유로,077458,2016/12,UQ
(주)E-유로,077458,2017/12,UQ
(주)E-유로,077458,2018/12,UQ
(주)E-유로,077458,2019/12,UQ
(주)E-유로,077458,2020/12,UQ
(주)E-유로,077458,2021/12,UQ
(주)E-유로,077458,2022/12,UQ
(주)EG메탈,058996,2012/12,UQ
(주)EG메탈,058996,2013/12,UQ
(주)EG메탈,058996,2014/12,UQ
(주)EG메탈,058996,2015/12,UQ
(주)EG메탈,058996,2016/12,UQ
(주)EG메탈,058996,2017/12,UQ
(주)EG메탈,058996,2018/12,UQ
(주)EG메탈,058996,2019/12,UQ
(주)ENS,030661,2012/12,UQ
(주)ENS,030661,2013/12,UQ
(주)ENS,030661,2014/12,UQ
(주)ENS,030661,2015/12,UQ
(주)ENS,030661,2016/12,UQ
