회사명,거래소코드,회계년도,감사의견코드
(주)주목,090959,2018/12,NA
(주)주목,090959,2019/12,QS
(주)주목씨지알,100652,2020/12,NA
(주)주목씨지알,100652,2021/12,UQ
(주)주목씨지알,100652,2022/12,UQ
(주)주문진규사,090376,2018/12,NA
(주)주문진규사,090376,2019/12,UQ
(주)주문진규사,090376,2020/12,UQ
(주)주문진규사,090376,2021/12,UQ
(주)주복,075843,2015/12,NA
(주)주복,075843,2016/12,QS
(주)주복,075843,2017/12,UQ
(주)주복,075843,2018/12,UQ
(주)주복,075843,2019/12,UQ
(주)주복,075843,2020/12,UQ
(주)주복,075843,2021/12,UQ
(주)주복,075843,2022/12,UQ
(주)주산산업개발,081498,2016/12,NA
(주)주산산업개발,081498,2017/12,UQ
(주)주산산업개발,081498,2018/12,UQ
(주)주산산업개발,081498,2019/12,UQ
(주)주산산업개발,081498,2020/12,UQ
(주)주산산업개발,081498,2021/12,UQ
(주)주산산업개발,081498,2022/12,UQ
(주)주성알앤디,104893,2021/12,NA
(주)주성알앤디,104893,2022/12,UQ
(주)주성종합건설,096192,2019/12,NA
(주)주성종합건설,096192,2020/12,QS
(주)주성종합건설,096192,2021/12,UQ
(주)주성종합건설,096192,2022/12,UQ
주미스틸(주),099294,2020/12,NA
주미스틸(주),099294,2021/12,UQ
주미스틸(주),099294,2022/12,UQ
주산(주),069908,2013/12,NA
주산(주),069908,2014/12,UQ
주산(주),069908,2015/12,UQ
주산(주),069908,2016/12,UQ
주산(주),069908,2017/12,UQ
주산(주),069908,2018/12,UQ
주산(주),069908,2019/12,UQ
주산(주),069908,2020/12,UQ
주산(주),069908,2021/12,UQ
주산(주),069908,2022/12,UQ
주산건설(주),066605,2012/12,NA
주산건설(주),066605,2013/12,UQ
주산건설(주),066605,2014/12,UQ
주성건축주식회사,082345,2016/12,NA
주성건축주식회사,082345,2017/12,UQ
주성건축주식회사,082345,2018/12,UQ
주성산업(주),070679,2013/12,NA
주성산업(주),070679,2014/12,UQ
주성산업(주),070679,2015/12,UQ
주성산업(주),070679,2016/12,UQ
주성산업(주),070679,2017/12,UQ
주성산업(주),070679,2019/12,NA
주성산업(주),070679,2020/12,UQ
주성산업(주),070679,2021/12,UQ
주성산업(주),070679,2022/12,UQ
주성씨앤에어주식회사,090663,2018/12,NA
주성씨앤에어주식회사,090663,2019/12,UQ
주성씨앤에어주식회사,090663,2020/12,UQ
주성씨앤에어주식회사,090663,2021/12,UQ
주성씨앤에어주식회사,090663,2022/12,UQ
주성이엔지주식회사,075930,2015/12,NA
주성이엔지주식회사,075930,2016/12,QS
주성이엔지주식회사,075930,2017/12,UQ
주성이엔지주식회사,075930,2018/12,UQ
주성이엔지주식회사,075930,2019/12,UQ
주성이엔지주식회사,075930,2020/12,UQ
주성이엔지주식회사,075930,2021/12,UQ
주성이엔지주식회사,075930,2022/12,UQ
주성인터내셔널주식회사,086116,2017/12,NA
주성인터내셔널주식회사,086116,2018/12,QG
주성폴리머(주),070407,2013/12,NA
주성폴리머(주),070407,2014/12,QS
주성폴리머(주),070407,2015/12,UQ
주시회사자연과도시,063815,2012/12,UQ
주시회사자연과도시,063815,2013/12,UQ
주시회사자연과도시,063815,2014/12,UQ
