회사명,거래소코드,회계년도,감사의견코드
(유)짐머바이오메트코리아,018711,2012/12,UQ
(유)짐머바이오메트코리아,018711,2013/12,UQ
(유)짐머바이오메트코리아,018711,2014/12,UQ
(유)짐머바이오메트코리아,018711,2015/12,UQ
(유)짐머바이오메트코리아,018711,2016/12,UQ
(유)짐머바이오메트코리아,018711,2017/12,UQ
(유)짐머바이오메트코리아,018711,2019/12,NA
(유)짐머바이오메트코리아,018711,2020/12,UQ
(유)짐머바이오메트코리아,018711,2021/12,UQ
(유)짐머바이오메트코리아,018711,2022/12,UQ
(유)청강건설,096132,2019/12,NA
(유)청강건설,096132,2020/12,QS
(유)청강건설,096132,2021/12,UQ
(유)충무타올,096085,2019/12,NA
(유)충무타올,096085,2020/12,QS
(유)충무타올,096085,2021/12,UQ
(유)충무타올,096085,2022/12,UQ
(유)케이에스메디컬,102010,2021/12,NA
(유)케이에스메디컬,102010,2022/12,UQ
(유)케이원에너지,047069,2012/12,UQ
(유)케이원에너지,047069,2013/12,UQ
(유)케이원에너지,047069,2014/12,UQ
(유)케이원에너지,047069,2015/12,UQ
(유)케이케이홀딩스,096189,2019/12,NA
(유)케이케이홀딩스,096189,2020/12,UQ
(유)케이케이홀딩스,096189,2021/12,UQ
(유)케이케이홀딩스,096189,2022/12,UQ
(유)테일러메이드코리아,095584,2019/12,NA
(유)테일러메이드코리아,095584,2020/12,UQ
(유)테일러메이드코리아,095584,2021/12,UQ
(유)테일러메이드코리아,095584,2022/12,UQ
(유)판토스홀딩스,078315,2015/12,NA
(유)판토스홀딩스,078315,2016/12,UQ
(유)판토스홀딩스,078315,2019/12,NA
(유)판토스홀딩스,078315,2020/12,UQ
(유)판토스홀딩스,078315,2021/12,UQ
(유)판토스홀딩스,078315,2022/12,UQ
(주)진달래,069461,2013/12,NA
(주)진달래,069461,2014/12,UQ
(주)진달래,069461,2015/12,UQ
(주)진달래,069461,2016/12,UQ
(주)진달래,069461,2017/12,UQ
(주)진달래,069461,2018/12,UQ
(주)진도레미콘,098424,2020/12,NA
(주)진도레미콘,098424,2021/12,QS
(주)진도레미콘,098424,2022/12,UQ
(주)진도선파크,060022,2012/12,UQ
(주)진도선파크,060022,2013/12,UQ
(주)진도선파크,060022,2014/12,UQ
(주)진도선파크,060022,2015/12,UQ
(주)진도선파크,060022,2016/12,UQ
(주)진도선파크,060022,2017/12,UQ
(주)진도토건,090107,2018/12,NA
(주)진도토건,090107,2019/12,UQ
(주)진도토건,090107,2020/12,UQ
(주)진도토건,090107,2021/12,UQ
(주)진도토건,090107,2022/12,UQ
(주)진두아이에스,052071,2012/12,UQ
(주)진두아이에스,052071,2013/12,UQ
(주)진두아이에스,052071,2014/12,UQ
(주)진두아이에스,052071,2015/12,UQ
(주)진두아이에스,052071,2016/12,UQ
(주)진두아이에스,052071,2017/12,UQ
(주)진두아이에스,052071,2018/12,UQ
(주)진명기업,044313,2012/12,UQ
(주)진명기업,044313,2013/12,UQ
(주)진명기업,044313,2014/12,UQ
(주)진명기업,044313,2015/12,UQ
(주)진명기업,044313,2016/12,UQ
(주)진명기업,044313,2017/12,UQ
(주)진명기업,044313,2018/12,UQ
(주)진명기업,044313,2019/12,UQ
(주)진명기업,044313,2020/12,UQ
(주)진명기업,044313,2021/12,UQ
(주)진명기업,044313,2022/12,UQ
(주)진명스탭스,096525,2019/12,NA
(주)진명스탭스,096525,2020/12,UQ
(주)진명스탭스,096525,2021/12,UQ
(주)진명스탭스,096525,2022/12,UQ
(주)진명아이앤씨,092429,2018/12,NA
(주)진명아이앤씨,092429,2019/12,QS
(주)진명아이앤씨,092429,2020/12,UQ
(주)진명아이앤씨,092429,2021/12,UQ
(주)진명아이앤씨,092429,2022/12,UQ
(주)진명엔지니어링건축사사무소,057182,2021/12,NA
(주)진명엔지니어링건축사사무소,057182,2022/12,UQ
(주)진명정밀,066890,2012/12,NA
(주)진명정밀,066890,2013/12,UQ
(주)진명정밀,066890,2014/12,UQ
(주)진명정밀,066890,2015/12,UQ
(주)진명정밀,066890,2016/12,UQ
(주)진명정밀,066890,2017/12,UQ
(주)진명정밀,066890,2018/12,UQ
(주)진명정밀,066890,2019/12,UQ
(주)진명정밀,066890,2020/12,UQ
(주)진명정밀,066890,2021/12,UQ
(주)진명정밀,066890,2022/12,UQ
(주)진명코퍼레이션,086820,2017/12,NA
(주)진명코퍼레이션,086820,2018/12,UQ
(주)진명코퍼레이션,086820,2019/12,UQ
(주)진명프리텍,041927,2012/12,UQ
(주)진명프리텍,041927,2013/12,UQ
(주)진명프리텍,041927,2014/12,UQ
