회사명,거래소코드,회계년도,감사의견코드
(유)대인계육유통,096685,2019/12,NA
(유)대인계육유통,096685,2020/12,QS
(유)대인계육유통,096685,2021/12,UQ
(유)대인계육유통,096685,2022/12,UQ
(유)대흥주택산업,099046,2020/12,NA
(유)대흥주택산업,099046,2021/12,UQ
(유)더밸류디프리마,106693,2021/12,NA
(유)더밸류디프리마,106693,2022/12,UQ
(유)더본건설,094511,2019/12,NA
(유)더본건설,094511,2020/12,UQ
(유)더본건설,094511,2021/12,UQ
(유)동명정공,093691,2019/12,NA
(유)동명정공,093691,2020/12,QS
(유)동명정공,093691,2021/12,UQ
(유)동명정공,093691,2022/12,UQ
(유)디에스브이에어앤씨인터내셔널,104275,2021/12,NA
(유)디에스브이에어앤씨인터내셔널,104275,2022/12,UQ
(주)다우스틸,057239,2012/12,UQ
(주)다우스틸,057239,2013/12,UQ
(주)다우스틸,057239,2014/12,UQ
(주)다우스틸,057239,2015/12,UQ
(주)다우스틸,057239,2016/12,UQ
(주)다우스틸,057239,2017/12,UQ
(주)다우스틸,057239,2018/12,UQ
(주)다우스틸,057239,2019/12,UQ
(주)다우스틸,057239,2020/12,UQ
(주)다우스틸,057239,2021/12,UQ
(주)다우스틸,057239,2022/12,UQ
(주)다우아이앤씨,058288,2012/12,DS
(주)다우아이앤씨,058288,2013/12,DS
(주)다우아이콘스,088475,2017/12,NA
(주)다우아이콘스,088475,2018/12,DS
(주)다우아이콘스,088475,2019/12,DS
(주)다우에프에이,059169,2012/12,UQ
(주)다우에프에이,059169,2013/12,UQ
(주)다우에프에이,059169,2014/12,UQ
(주)다우에프에이,059169,2015/12,UQ
(주)다우에프에이,059169,2016/12,UQ
(주)다우에프에이,059169,2017/12,UQ
(주)다우에프에이,059169,2018/12,UQ
(주)다우에프에이,059169,2019/12,UQ
(주)다우에프에이,059169,2020/12,UQ
(주)다우에프에이,059169,2021/12,UQ
(주)다우에프에이,059169,2022/12,UQ
(주)다우와키움건설,057951,2012/12,UQ
(주)다우정밀,103848,2021/12,NA
(주)다우정밀,103848,2022/12,QS
(주)다우종합건설,066599,2012/12,NA
(주)다우종합건설,066599,2013/12,UQ
(주)다우진유전자연구소,076355,2015/12,NA
(주)다우진유전자연구소,076355,2016/12,UQ
(주)다우진유전자연구소,076355,2017/12,UQ
(주)다우진유전자연구소,076355,2018/12,UQ
(주)다우진유전자연구소,076355,2019/12,UQ
(주)다우진유전자연구소,076355,2020/12,UQ
(주)다우진유전자연구소,076355,2021/12,UQ
(주)다우진유전자연구소,076355,2022/12,UQ
(주)다우케이아이디기획,085228,2017/12,NA
(주)다우케이아이디기획,085228,2018/12,UQ
(주)다우케이아이디기획,085228,2019/12,UQ
(주)다우케이아이디홀딩스,086821,2017/12,NA
(주)다우케이아이디홀딩스,086821,2018/12,QS
(주)다우케이아이디홀딩스,086821,2019/12,UQ
(주)다우케이아이디홀딩스,086821,2020/12,UQ
(주)다운,052484,2012/12,UQ
(주)다운,052484,2013/12,UQ
(주)다운,052484,2014/12,UQ
(주)다운,052484,2015/12,UQ
(주)다운,052484,2016/12,UQ
(주)다운,052484,2017/12,UQ
(주)다운,052484,2018/12,UQ
(주)다운,052484,2019/12,UQ
(주)다운나라,062476,2012/12,UQ
(주)다운나라,062476,2013/12,DS
(주)다운나라,062476,2014/12,DS
(주)다운나라,062476,2015/12,QS
(주)다울종합건설,029415,2012/12,UQ
(주)다울종합건설,029415,2016/12,UQ
(주)다울종합건설,029415,2017/12,UQ
(주)다울종합건설,029415,2018/12,UQ
(주)다울종합건설,029415,2019/12,UQ
(주)다울종합건설,029415,2021/12,NA
(주)다울종합건설,029415,2022/12,UQ
(주)다움디앤씨,105854,2021/12,NA
(주)다움디앤씨,105854,2022/12,UQ
(주)다원,073068,2014/12,NA
