회사명,거래소코드,회계년도,감사의견코드
(유)휴먼하이테크,097315,2020/06,NA
(유)휴먼하이테크,097315,2021/06,QS
(유)휴먼하이테크,097315,2022/06,UQ
(주)화성건설이엔지,087498,2017/12,NA
(주)화성건설이엔지,087498,2018/12,UQ
(주)화성건설이엔지,087498,2019/12,UQ
(주)화성건설이엔지,087498,2020/12,UQ
(주)화성건설이엔지,087498,2021/12,UQ
(주)화성건설이엔지,087498,2022/12,UQ
(주)화성관리공사,059330,2012/12,UQ
(주)화성관리공사,059330,2013/12,UQ
(주)화성관리공사,059330,2014/12,UQ
(주)화성동탄피에프브이,106657,2021/12,NA
(주)화성동탄피에프브이,106657,2022/12,UQ
(주)화성비엔텍,085838,2017/12,NA
(주)화성비엔텍,085838,2018/12,QS
(주)화성산업,088897,2018/12,NA
(주)화성산업,088897,2019/12,QS
(주)화성산업,088897,2020/12,UQ
(주)화성산업,088897,2021/12,UQ
(주)화성스틸,064766,2012/12,QS
(주)화성스틸,064766,2013/12,UQ
(주)화성스틸,064766,2014/12,UQ
(주)화성스틸,064766,2015/12,UQ
(주)화성스틸,064766,2016/12,UQ
(주)화성스틸,064766,2017/12,UQ
(주)화성스틸,064766,2018/12,UQ
(주)화성스틸,064766,2019/12,UQ
(주)화성스틸,064766,2020/12,UQ
(주)화성스틸,064766,2021/12,UQ
(주)화성스틸,064766,2022/12,UQ
(주)화성써모,051548,2012/12,UQ
(주)화성써모,051548,2013/12,UQ
(주)화성써모,051548,2014/12,UQ
(주)화성써모,051548,2015/12,UQ
(주)화성써모,051548,2016/12,UQ
(주)화성써모,051548,2017/12,UQ
(주)화성써모,051548,2018/12,UQ
(주)화성써모,051548,2019/12,UQ
(주)화성써모,051548,2020/12,UQ
(주)화성써모,051548,2021/12,UQ
(주)화성써모,051548,2022/12,UQ
(주)화성알텍,087570,2017/12,NA
(주)화성알텍,087570,2018/12,QS
(주)화성알텍,087570,2019/12,UQ
(주)화성알텍,087570,2020/12,UQ
(주)화성알텍,087570,2021/12,UQ
(주)화성알텍,087570,2022/12,UQ
(주)화성여객,076952,2015/12,NA
(주)화성여객,076952,2016/12,UQ
(주)화성여객,076952,2019/12,NA
(주)화성여객,076952,2020/12,QS
(주)화성여객,076952,2021/12,UQ
(주)화성여객,076952,2022/12,UQ
(주)화성장안택지개발,099607,2020/12,NA
(주)화성장안택지개발,099607,2021/12,DU
(주)화성전선,020468,2012/12,UQ
(주)화성전선,020468,2013/12,UQ
(주)화성전선,020468,2014/12,UQ
(주)화성전선,020468,2015/12,UQ
(주)화성전선,020468,2016/12,UQ
(주)화성전선,020468,2017/12,UQ
(주)화성전선,020468,2018/12,UQ
(주)화성전선,020468,2019/12,UQ
(주)화성전선,020468,2020/12,UQ
(주)화성전선,020468,2021/12,UQ
(주)화성전선,020468,2022/12,UQ
(주)화성테크윈,064036,2012/12,QS
(주)화성테크윈,064036,2013/12,UQ
