회사명,거래소코드,회계년도,감사의견코드
(유)딘텍스코리아,078313,2015/12,NA
(유)딘텍스코리아,078313,2016/12,QS
(유)딘텍스코리아,078313,2019/12,NA
(유)딘텍스코리아,078313,2020/12,DS
(유)라온,093415,2019/12,NA
(유)라온,093415,2020/12,QS
(유)로젠택배광주지점,100026,2020/12,NA
(유)로젠택배광주지점,100026,2021/12,UQ
(유)로젠택배광주지점,100026,2022/12,UQ
(유)명지개발,093897,2019/12,NA
(유)명지개발,093897,2020/12,UQ
(유)명지개발,093897,2021/12,UQ
(유)명지개발,093897,2022/12,UQ
(유)미르디앤씨,097915,2020/12,NA
(유)미르디앤씨,097915,2021/12,UQ
(유)베스타스코리아윈드테크놀러지,096586,2019/12,NA
(유)베스타스코리아윈드테크놀러지,096586,2020/12,QS
(유)베스타스코리아윈드테크놀러지,096586,2021/12,UQ
(유)베스타스코리아윈드테크놀러지,096586,2022/12,QS
(유)보문특수칼라,094606,2019/12,NA
(유)보문특수칼라,094606,2020/12,UQ
(유)보문특수칼라,094606,2021/12,UQ
(유)보문특수칼라,094606,2022/12,UQ
(유)브이피에이치아이,096625,2020/12,UQ
(유)브이피에이치아이,096625,2021/12,UQ
(유)브이피에이치아이,096625,2022/12,UQ
(유)비티투자,054082,2012/12,UQ
(유)비티투자,054082,2013/12,UQ
(유)비티투자,054082,2014/12,UQ
(유)비티투자,054082,2015/12,UQ
(유)비티투자,054082,2019/12,UQ
(유)비티투자,054082,2021/12,NA
(유)비티투자,054082,2022/12,UQ
(주)디엠에스코리아,098927,2020/12,NA
(주)디엠에스코리아,098927,2021/12,QS
(주)디엠에스코리아,098927,2022/12,UQ
(주)디엠에이씨인터내셔널,099547,2020/12,NA
(주)디엠에이씨인터내셔널,099547,2021/12,QS
(주)디엠에이씨인터내셔널,099547,2022/12,UQ
(주)디엠에프,070238,2013/12,NA
(주)디엠에프,070238,2014/12,QS
(주)디엠에프,070238,2015/12,UQ
(주)디엠에프,070238,2016/12,QS
(주)디엠에프,070238,2017/12,QS
(주)디엠에프,070238,2018/12,QS
(주)디엠에프,070238,2019/12,QS
(주)디엠엑스테크놀로지스코리아,045704,2012/12,UQ
(주)디엠엑스테크놀로지스코리아,045704,2013/12,UQ
(주)디엠엑스테크놀로지스코리아,045704,2014/12,UQ
(주)디엠엑스테크놀로지스코리아,045704,2015/12,AG
(주)디엠엑스테크놀로지스코리아,045704,2016/12,AG
(주)디엠엔터프라이즈,097531,2020/12,NA
(주)디엠엔터프라이즈,097531,2021/12,QS
(주)디엠엔터프라이즈,097531,2022/12,UQ
(주)디엠이,074519,2014/12,NA
(주)디엠이,074519,2015/12,AG
(주)디엠이,094326,2019/12,NA
(주)디엠이,094326,2020/12,UQ
(주)디엠이,094326,2021/12,UQ
(주)디엠이,094326,2022/12,UQ
(주)디엠케이,067983,2012/12,NA
(주)디엠케이,049092,2012/12,UQ
(주)디엠케이,067983,2013/12,UQ
(주)디엠케이,049092,2013/12,UQ
(주)디엠케이,049092,2014/12,UQ
(주)디엠케이,067983,2014/12,DU
(주)디엠케이,049092,2015/12,UQ
(주)디엠케이,049092,2016/12,UQ
(주)디엠케이,049092,2017/12,UQ
(주)디엠케이,049092,2018/12,QS
(주)디엠케이,049092,2019/12,UQ
(주)디엠코스메틱스,083884,2016/12,NA
(주)디엠코스메틱스,083884,2017/12,QS
(주)디엠코스메틱스,083884,2018/12,UQ
(주)디엠테크놀러지,081453,2016/12,NA
(주)디엠테크놀러지,081453,2017/12,QQ
(주)디엠테크놀러지,081453,2018/12,UQ
(주)디엠테크놀러지,081453,2019/12,UQ
