회사명,거래소코드,회계년도,감사의견코드
(유)유맥에프앤알,014534,2012/12,UQ
(유)유맥에프앤알,014534,2013/12,UQ
(유)유맥에프앤알,014534,2014/12,UQ
(유)유맥에프앤알,014534,2015/12,UQ
(유)유맥에프앤알,014534,2016/12,UQ
(유)유맥에프앤알,014534,2017/12,UQ
(유)유맥에프앤알,014534,2018/12,NA
(유)유맥에프앤알,014534,2019/12,UQ
(유)유맥에프앤알,014534,2021/12,NA
(유)유맥에프앤알,014534,2022/12,UQ
(유)유혁,098170,2020/12,NA
(유)유혁,098170,2021/12,UQ
(유)일토씨엔엠,096548,2019/12,NA
(유)일토씨엔엠,096548,2020/12,UQ
(유)일토씨엔엠,096548,2021/12,DS
(유)일토씨엔엠,096548,2022/12,UQ
(유)임페리얼스포츠,093104,2019/12,NA
(유)임페리얼스포츠,093104,2020/12,QS
(유)임페리얼스포츠,093104,2021/12,UQ
(유)임페리얼스포츠,093104,2022/12,UQ
(유)전일여객,096194,2019/12,NA
(유)전일여객,096194,2020/12,QS
(유)전일여객,096194,2021/12,UQ
(유)전일여객,096194,2022/12,UQ
(주)원흥,094953,2019/12,NA
(주)원흥,094953,2020/12,QS
(주)월곶식자재,096893,2019/12,NA
(주)월곶식자재,096893,2020/12,QS
(주)월곶식자재,096893,2021/12,UQ
(주)월곶식자재,096893,2022/12,UQ
(주)월드,057330,2012/12,DU
(주)월드,057330,2013/12,DU
(주)월드,074291,2014/12,NA
(주)월드,074291,2015/12,UQ
(주)월드,074291,2016/12,UQ
(주)월드디앤씨,107111,2021/12,NA
(주)월드디앤씨,107111,2022/12,DS
(주)월드마린,080728,2016/12,NA
(주)월드마린,080728,2017/12,QG
(주)월드벨,075010,2015/03,NA
(주)월드벨,075010,2016/03,UQ
(주)월드벨,075010,2017/03,UQ
(주)월드뷰건설,076393,2015/12,NA
(주)월드뷰건설,076393,2016/12,UQ
(주)월드뷰건설,076393,2017/12,UQ
(주)월드뷰건설,076393,2018/12,UQ
(주)월드뷰건설,076393,2019/12,UQ
(주)월드뷰건설,076393,2020/12,UQ
(주)월드뷰건설,076393,2021/12,UQ
(주)월드쇼핑플러스마트,058746,2012/12,UQ
(주)월드쇼핑플러스마트,058746,2013/12,UQ
(주)월드쇼핑플러스마트,058746,2014/12,UQ
(주)월드쇼핑플러스마트,058746,2015/12,UQ
(주)월드쇼핑플러스마트,058746,2016/12,UQ
(주)월드쇼핑플러스마트,058746,2017/12,UQ
(주)월드스타,074507,2014/12,NA
(주)월드스타,074507,2015/12,DS
(주)월드스타,074507,2016/12,DS
(주)월드스타,074507,2017/12,DU
(주)월드에너지,088196,2017/12,NA
(주)월드에너지,088196,2018/12,QS
(주)월드에너지,088196,2019/12,UQ
(주)월드에너지,088196,2020/12,UQ
(주)월드에너지,088196,2021/12,UQ
(주)월드에너지,088196,2022/12,UQ
(주)월드엠앤엘,053304,2012/12,UQ
(주)월드엠앤엘,053304,2013/12,UQ
(주)월드엠앤엘,053304,2014/12,UQ
(주)월드엠앤엘,053304,2015/12,UQ
(주)월드엠앤엘,053304,2016/12,UQ
(주)월드엠앤엘,053304,2017/12,UQ
(주)월드엠앤엘,053304,2018/12,UQ
(주)월드엠앤엘,053304,2019/12,UQ
(주)월드엠앤엘,053304,2020/12,UQ
(주)월드엠앤엘,053304,2021/12,UQ
(주)월드엠앤엘,053304,2022/12,UQ
(주)월드여행사,081488,2016/12,NA
(주)월드여행사,081488,2017/12,DS
(주)월드오토,076127,2016/12,UQ
(주)월드오토,076127,2017/12,UQ
(주)월드오토,076127,2018/12,UQ
(주)월드오토,076127,2019/12,UQ
(주)월드와이드메모리,100780,2020/12,NA
(주)월드와이드메모리,100780,2021/12,QS
(주)월드원,030021,2012/12,UQ
(주)월드원,030021,2013/12,UQ
(주)월드원,030021,2014/12,UQ
(주)월드원,030021,2015/12,UQ
(주)월드원,030021,2016/12,UQ
(주)월드원,030021,2017/12,UQ
(주)월드원,030021,2018/12,UQ
(주)월드원,030021,2019/12,UQ
(주)월드원,030021,2020/12,UQ
(주)월드원,030021,2021/12,UQ
(주)월드웰,080438,2016/12,NA
(주)월드웰,080438,2017/12,QS
(주)월드웰,080438,2018/12,UQ
(주)월드웰,080438,2019/12,UQ
(주)월드웰,080438,2020/12,UQ
(주)월드웰,080438,2021/12,UQ
(주)월드웰,080438,2022/12,UQ
(주)월드이엔씨,051104,2012/12,QS
(주)월드이엔씨,051104,2013/12,UQ
(주)월드이엔씨,051104,2014/12,UQ
(주)월드이엔씨,051104,2015/12,UQ
(주)월드이엔씨,051104,2016/12,UQ
(주)월드이엔씨,051104,2017/12,UQ
(주)월드이엔씨,051104,2018/12,UQ
(주)월드이엔씨,051104,2019/12,UQ
(주)월드이엔씨,051104,2020/12,UQ
(주)월드이엔씨,051104,2021/12,UQ
(주)월드이엔씨,051104,2022/12,UQ
(주)월드이엔지,086967,2017/12,NA
(주)월드이엔지,086967,2018/12,UQ
(주)월드이엔지,086967,2019/12,UQ
(주)월드쥬스,081369,2016/12,NA
(주)월드쥬스,081369,2017/12,QS
(주)월드쥬스,081369,2018/12,UQ
(주)월드쥬스,081369,2019/12,UQ
(주)월드쥬스,081369,2020/12,UQ
(주)월드쥬스,081369,2021/12,UQ
(주)월드쥬스,081369,2022/12,UQ
(주)월드컬렉션,096680,2019/12,NA
(주)월드컬렉션,096680,2020/12,QS
(주)월드컬렉션,096680,2021/12,UQ
(주)월드컬렉션,096680,2022/12,UQ
(주)월드컴에듀,088132,2017/12,NA
(주)월드컴에듀,088132,2018/12,QS
(주)월드컴에듀,088132,2019/12,UQ
(주)월드컴에듀,088132,2020/12,UQ
(주)월드타운,072610,2014/12,NA
(주)월드타운,072610,2015/12,UQ
(주)월드타운,072610,2016/12,UQ
(주)월드타운,072610,2017/12,UQ
(주)월드타운,072610,2018/12,UQ
(주)월드타운,072610,2019/12,UQ
(주)월드튜브,052219,2012/12,UQ
(주)월드튜브,052219,2013/12,UQ
(주)월드튜브,052219,2014/12,UQ
(주)월드튜브,052219,2015/12,UQ
(주)월드튜브,052219,2016/12,UQ
(주)월드튜브,052219,2017/12,UQ
(주)월드튜브,052219,2018/12,UQ
(주)월드튜브,052219,2019/12,UQ
(주)월드튜브,052219,2020/12,UQ
(주)월드튜브,052219,2021/12,UQ
(주)월드튜브,052219,2022/12,UQ
(주)월드파트너스,077860,2015/12,NA
(주)월드파트너스,077860,2016/12,UQ
(주)월드파트너스,077860,2017/12,UQ
(주)월드파트너스,077860,2018/12,UQ
(주)월드퍼니처,077863,2015/12,NA
(주)월드퍼니처,077863,2016/12,QS
(주)월드퍼니처,077863,2017/12,DU
(주)월드퍼니처,077863,2018/12,DU
(주)월드퍼니처,077863,2019/12,DU
(주)월드퍼니처,077863,2020/12,QU
(주)월드퍼니처,077863,2021/12,QU
(주)월드플랜,087243,2017/12,NA
(주)월드플랜,087243,2018/12,UQ
(주)월드플랜,087243,2019/12,UQ
(주)월드플랜,087243,2020/12,UQ
(주)월드플랜,087243,2021/12,UQ
(주)월드플랜,087243,2022/12,UQ
(주)월드플로어,097006,2019/12,NA
(주)월드플로어,097006,2020/12,QS
(주)월드플로어,097006,2021/12,UQ
(주)월드플로어,097006,2022/12,UQ
(주)월드할인마트,077720,2015/12,NA
(주)월드할인마트,077720,2016/12,QS
(주)월드할인마트,077720,2017/12,UQ
(주)월드할인마트,077720,2018/12,UQ
(주)월드할인마트,077720,2019/12,UQ
(주)월드할인마트,077720,2020/12,UQ
(주)월드할인마트,077720,2021/12,UQ
(주)월드할인마트,077720,2022/12,UQ
(주)월미산업개발,105592,2021/12,NA
(주)월미산업개발,105592,2022/12,UQ
(주)월비통상,056488,2012/12,UQ
(주)월비통상,056488,2013/12,UQ
(주)월비통상,056488,2014/12,UQ
(주)월비통상,056488,2015/12,UQ
(주)월비통상,056488,2016/12,UQ
(주)월비통상,056488,2017/12,UQ
(주)월비통상,056488,2018/12,UQ
(주)월비통상,056488,2019/12,UQ
(주)월비통상,056488,2020/12,UQ
(주)월비통상,056488,2021/12,UQ
(주)월비통상,056488,2022/12,UQ
(주)월산,078349,2015/12,NA
(주)월산,078349,2016/12,QS
(주)월산,078349,2017/12,UQ
(주)월산,078349,2018/12,UQ
(주)월산,078349,2019/12,UQ
(주)월산,078349,2020/12,UQ
(주)월산,078349,2021/12,UQ
(주)월산,078349,2022/12,UQ
(주)월산정공,053616,2012/12,UQ
(주)월성,081813,2016/12,NA
(주)월성,081813,2017/12,UQ
(주)월성,081813,2018/12,UQ
(주)월성,081813,2019/12,UQ
(주)월성,081813,2021/12,NA
(주)월성,081813,2022/12,UQ
(주)월성전자,063851,2012/12,QS
(주)월성전자,063851,2013/12,UQ
(주)월성전자,063851,2014/12,UQ
(주)월성전자,063851,2015/12,UQ
(주)월성전자,063851,2016/12,UQ
(주)월성전자,063851,2017/12,UQ
(주)월성전자,063851,2018/12,UQ
(주)월성전자,063851,2019/12,UQ
(주)월성전자,063851,2020/12,UQ
(주)월성전자,063851,2021/12,UQ
(주)월성전자,063851,2022/12,UQ
(주)월성종합개발,050382,2012/12,UQ
(주)월성종합개발,050382,2013/12,UQ
(주)월성종합개발,050382,2014/12,UQ
(주)월성종합개발,050382,2015/12,UQ
(주)월성종합개발,050382,2016/12,UQ
(주)월성종합개발,050382,2017/12,UQ
(주)월성종합개발,050382,2018/12,UQ
(주)월성종합개발,050382,2019/12,UQ
(주)월성종합개발,050382,2020/12,UQ
(주)월성종합개발,050382,2021/12,UQ
(주)월성종합개발,050382,2022/12,UQ
(주)월자제지,071637,2013/12,NA
(주)월자제지,071637,2014/12,UQ
(주)월자제지,071637,2015/12,UQ
(주)월자제지,071637,2016/12,UQ
(주)월자포장,106258,2021/12,NA
(주)월자포장,106258,2022/12,UQ
(주)월향,095795,2019/12,NA
(주)월향,095795,2020/12,DS
(주)웨딩헤너스,091293,2018/12,NA
(주)웨딩헤너스,091293,2019/12,UQ
(주)웨딩헤너스,091293,2020/12,UQ
(주)웨딩헤너스,091293,2021/12,UQ
(주)웨딩헤너스,091293,2022/12,UQ
(주)웨스코일렉트로드,096931,2019/12,NA
(주)웨스코일렉트로드,096931,2020/12,QS
(주)웨스코일렉트로드,096931,2021/12,UQ
(주)웨스코일렉트로드,096931,2022/12,UQ
(주)웨스턴팔오,105565,2021/12,NA
(주)웨스턴팔오,105565,2022/12,UQ
(주)웨스트비치팜리조트,067640,2012/12,NA
(주)웨스트비치팜리조트,067640,2013/12,DU
(주)웨스트서울모터스,100608,2020/12,NA
(주)웨스트서울모터스,100608,2021/12,QS
(주)웨스트아이앤디,099391,2020/12,NA
(주)웨스트아이앤디,099391,2021/12,UQ
(주)웨슨산업,060919,2012/12,UQ
(주)웨어밸리,095938,2019/12,NA
(주)웨어밸리,095938,2020/12,UQ
(주)웨어밸리,095938,2021/12,UQ
(주)웨어밸리,095938,2022/12,UQ
(주)웨어펀인터내셔날,016862,2012/12,UQ
(주)웨어펀인터내셔날,016862,2013/12,UQ
(주)웨어펀인터내셔날,016862,2014/12,UQ
(주)웨이버스,094284,2019/12,NA
(주)웨이버스,094284,2020/12,UQ
(주)웨이버스,094284,2021/12,UQ
(주)웨이브링스,043514,2012/12,UQ
(주)웨이브링스,043514,2013/12,UQ
(주)웨이브링스,043514,2014/12,DS
(주)웨이브링스,043514,2015/12,NA
(주)웨이브링스,043514,2016/12,DS
(주)웨이브아이앤씨,080276,2016/12,NA
(주)웨이브아이앤씨,080276,2017/12,UQ
