회사명,거래소코드,회계년도,감사의견코드
(유)주영산업개발,093799,2019/12,NA
(유)주영산업개발,093799,2020/12,UQ
(유)주영산업개발,093799,2021/12,UQ
(유)주영산업개발,093799,2022/12,UQ
(유)중산MOTORS,105441,2021/12,NA
(유)중산MOTORS,105441,2022/12,UQ
(주)주안,078796,2015/12,NA
(주)주안,078796,2016/12,UQ
(주)주안,084937,2017/12,NA
(주)주안,078796,2017/12,UQ
(주)주안,084937,2018/12,QS
(주)주안,078796,2018/12,UQ
(주)주안,078796,2019/12,UQ
(주)주안,078796,2020/12,UQ
(주)주안,078796,2021/12,DS
(주)주안디앤씨,064779,2012/12,UQ
(주)주안디앤씨,078662,2015/12,NA
(주)주안디앤씨,078662,2016/12,QS
(주)주안디앤씨,078662,2019/12,UQ
(주)주안디앤씨,078662,2020/12,NA
(주)주안디앤씨,078662,2021/12,UQ
(주)주연전자,098956,2020/12,NA
(주)주연전자,098956,2021/12,UQ
(주)주영,085463,2017/12,NA
(주)주영,085463,2018/12,QS
(주)주영,085463,2019/12,UQ
(주)주영,085463,2020/12,UQ
(주)주영,085463,2021/12,UQ
(주)주영,085463,2022/12,UQ
(주)주영디벨로퍼,105971,2021/12,NA
(주)주영디벨로퍼,105971,2022/12,UQ
(주)주영메카트로닉스,103100,2021/12,NA
(주)주영메카트로닉스,103100,2022/12,QS
(주)주영아이엔씨,041242,2012/12,UQ
(주)주영토건,089235,2018/12,NA
(주)주영토건,089235,2019/12,QS
(주)주영토건,089235,2020/12,UQ
(주)주영토건,089235,2021/12,UQ
(주)주영토건,089235,2022/12,UQ
(주)주영페이퍼텍,070977,2013/12,NA
(주)주영페이퍼텍,070977,2014/12,QS
(주)주영페이퍼텍,070977,2015/12,UQ
(주)주영페이퍼텍,070977,2016/12,UQ
(주)주영페이퍼텍,070977,2017/12,UQ
(주)주영페이퍼텍,070977,2018/12,UQ
(주)주영페이퍼텍,070977,2019/12,UQ
(주)주영페이퍼텍,070977,2020/12,UQ
(주)주영페이퍼텍,070977,2021/12,UQ
(주)주영페이퍼텍,070977,2022/12,UQ
